decision_id,workflow_id,ts,decision_type,actor_type,actor_name,actor_version,objective,input_facts,evidence_refs,evidence_freshness_days,groundedness_score,options_evaluated,selected_action,selection_basis,confidence,policy_evaluations,authority,tool_action,business_outcome,owner,risk_tier
DEC-20260602-163abc,163abc90-4f41-4e07-abf9-57fbadb60953,2026-06-02T19:13:26+00:00,refund_eligibility,agent,retail-support-agent,2.4.1,approve_customer_refund,"{""order_value"": 199.85, ""customer_tier"": ""standard"", ""claim_age_days"": 33, ""channel"": ""web_chat""}","[""faq_kb"", ""faq_kb:4893""]",0,0.935,"[""reject_refund"", ""approve_standard_refund"", ""escalate_for_manual_review""]",approve_standard_refund,"[""damaged_item_confirmed"", ""claim_within_30_day_window=False"", ""order_value_below_auto_limit=True""]",0.9,"[{""policy_id"": ""RETURNS-AUTO-APPROVAL-04"", ""version"": ""7.2"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-87""}","{""tool"": ""refund_issue"", ""result"": ""error""}","{""outcome"": ""resolved"", ""amount"": 199.85}",Product Owner + Responsible AI/Risk,medium
DEC-20260602-aad97b,aad97bfd-8e93-4add-9e31-5c169d852dcc,2026-06-02T02:46:54+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 380.02, ""customer_tier"": ""loyalty_silver"", ""claim_age_days"": 12, ""channel"": ""web_chat""}","[""returns_policy_kb"", ""returns_policy_kb:6988""]",7,0.81,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",proceed_with_action,"[""identity_verified"", ""action_within_agent_authority"", ""groundedness=0.81""]",0.83,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-59""}","{""tool"": ""loyalty_credit"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": null}",Cyber Security + Product Owner,high
DEC-20260602-8e06fc,8e06fcf1-5659-45f0-8640-0eaf8982dbce,2026-06-02T07:14:50+00:00,refund_eligibility,agent,retail-support-agent,2.4.1,approve_customer_refund,"{""order_value"": 447.89, ""customer_tier"": ""loyalty_gold"", ""claim_age_days"": 25, ""channel"": ""web_chat""}","[""order_history_index"", ""order_history_index:5800""]",8,0.699,"[""reject_refund"", ""approve_standard_refund"", ""escalate_for_manual_review""]",approve_standard_refund,"[""damaged_item_confirmed"", ""claim_within_30_day_window=True"", ""order_value_below_auto_limit=False""]",0.68,"[{""policy_id"": ""RETURNS-AUTO-APPROVAL-04"", ""version"": ""7.2"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-37""}","{""tool"": ""refund_issue"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": 447.89}",Product Owner + Responsible AI/Risk,medium
DEC-20260602-de31ac,de31ac6b-fa3f-4073-9470-5b30f29811b4,2026-06-02T10:16:07+00:00,refund_eligibility,agent,retail-support-agent,2.4.1,approve_customer_refund,"{""order_value"": 299.68, ""customer_tier"": ""loyalty_gold"", ""claim_age_days"": 25, ""channel"": ""web_chat""}","[""order_history_index"", ""order_history_index:1003""]",27,0.772,"[""reject_refund"", ""approve_standard_refund"", ""escalate_for_manual_review""]",approve_standard_refund,"[""damaged_item_confirmed"", ""claim_within_30_day_window=True"", ""order_value_below_auto_limit=True""]",0.76,"[{""policy_id"": ""RETURNS-AUTO-APPROVAL-04"", ""version"": ""7.2"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-15""}","{""tool"": ""refund_issue"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": 299.68}",Product Owner + Responsible AI/Risk,medium
DEC-20260602-034665,034665d4-4162-4db4-b8ef-5fe5d0291d38,2026-06-02T05:40:36+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 37.76, ""customer_tier"": ""loyalty_gold"", ""claim_age_days"": 18, ""channel"": ""web_chat""}","[""order_history_index"", ""order_history_index:9897""]",39,0.735,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",proceed_with_action,"[""identity_verified"", ""action_within_agent_authority"", ""groundedness=0.735""]",0.73,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-57""}","{""tool"": ""loyalty_credit"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": null}",Cyber Security + Product Owner,high
DEC-20260602-2e0e02,2e0e0297-7b67-482f-a45d-dbb372a166db,2026-06-02T12:12:03+00:00,refund_eligibility,agent,retail-support-agent,2.4.1,approve_customer_refund,"{""order_value"": 102.38, ""customer_tier"": ""loyalty_gold"", ""claim_age_days"": 16, ""channel"": ""mobile_app""}","[""order_history_index"", ""order_history_index:9946""]",20,0.699,"[""reject_refund"", ""approve_standard_refund"", ""escalate_for_manual_review""]",approve_standard_refund,"[""damaged_item_confirmed"", ""claim_within_30_day_window=True"", ""order_value_below_auto_limit=True""]",0.67,"[{""policy_id"": ""RETURNS-AUTO-APPROVAL-04"", ""version"": ""7.2"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-15""}","{""tool"": ""refund_issue"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": 102.38}",Product Owner + Responsible AI/Risk,medium
DEC-20260602-c26ab7,c26ab7db-749e-4ff6-92e5-9dc83baaf912,2026-06-02T01:04:12+00:00,refund_eligibility,agent,retail-support-agent,2.4.1,approve_customer_refund,"{""order_value"": 288.19, ""customer_tier"": ""loyalty_gold"", ""claim_age_days"": 35, ""channel"": ""mobile_app""}","[""order_history_index"", ""order_history_index:2837""]",41,0.923,"[""reject_refund"", ""approve_standard_refund"", ""escalate_for_manual_review""]",approve_standard_refund,"[""damaged_item_confirmed"", ""claim_within_30_day_window=False"", ""order_value_below_auto_limit=True""]",0.92,"[{""policy_id"": ""RETURNS-AUTO-APPROVAL-04"", ""version"": ""7.2"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-72""}","{""tool"": ""refund_issue"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": 288.19}",Product Owner + Responsible AI/Risk,medium
DEC-20260602-98fa75,98fa75f5-afb3-465d-b6fc-82b8bd0a4810,2026-06-02T08:11:40+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 383.31, ""customer_tier"": ""standard"", ""claim_age_days"": 13, ""channel"": ""mobile_app""}","[""returns_policy_kb"", ""returns_policy_kb:1174""]",24,0.512,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",request_human_approval,"[""high_risk_write_action"", ""approval_policy_requires_review""]",0.51,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""human-review-341""}","{""tool"": ""loyalty_credit"", ""result"": ""success""}","{""outcome"": ""escalated_human"", ""amount"": null}",Cyber Security + Product Owner,medium
DEC-20260602-d3dd52,d3dd522a-0532-4847-a7c1-0ed531b880b6,2026-06-02T11:13:04+00:00,refund_eligibility,agent,retail-support-agent,2.4.1,approve_customer_refund,"{""order_value"": 220.35, ""customer_tier"": ""standard"", ""claim_age_days"": 12, ""channel"": ""web_chat""}","[""order_history_index"", ""order_history_index:8245""]",15,0.802,"[""reject_refund"", ""approve_standard_refund"", ""escalate_for_manual_review""]",approve_standard_refund,"[""damaged_item_confirmed"", ""claim_within_30_day_window=True"", ""order_value_below_auto_limit=True""]",0.81,"[{""policy_id"": ""RETURNS-AUTO-APPROVAL-04"", ""version"": ""7.2"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-89""}","{""tool"": ""refund_issue"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": 220.35}",Product Owner + Responsible AI/Risk,medium
DEC-20260602-19555a,19555a07-dff3-474c-ba1f-53ad4c9e5970,2026-06-02T20:16:39+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 107.95, ""customer_tier"": ""loyalty_silver"", ""claim_age_days"": 18, ""channel"": ""mobile_app""}","[""faq_kb"", ""faq_kb:6032""]",23,0.636,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",proceed_with_action,"[""identity_verified"", ""action_within_agent_authority"", ""groundedness=0.636""]",0.65,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-87""}","{""tool"": ""loyalty_credit"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": null}",Cyber Security + Product Owner,medium
DEC-20260602-35eb43,35eb4337-d5b7-4bc6-8d33-d68a5bb0deed,2026-06-02T17:52:24+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 80.06, ""customer_tier"": ""loyalty_gold"", ""claim_age_days"": 1, ""channel"": ""web_chat""}","[""faq_kb"", ""faq_kb:2577""]",13,0.893,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",proceed_with_action,"[""identity_verified"", ""action_within_agent_authority"", ""groundedness=0.893""]",0.91,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-72""}","{""tool"": ""address_update"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": null}",Cyber Security + Product Owner,medium
DEC-20260602-f3b5a7,f3b5a781-1680-482c-96a5-3fd9f9cf786c,2026-06-02T03:06:00+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 40.14, ""customer_tier"": ""loyalty_gold"", ""claim_age_days"": 33, ""channel"": ""mobile_app""}","[""returns_policy_kb"", ""returns_policy_kb:2674""]",1,0.554,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",proceed_with_action,"[""identity_verified"", ""action_within_agent_authority"", ""groundedness=0.554""]",0.54,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-47""}","{""tool"": ""loyalty_credit"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": null}",Cyber Security + Product Owner,medium
DEC-20260602-6c3de4,6c3de452-5d6a-4ae9-9a26-ac76b86a4ab7,2026-06-02T10:23:50+00:00,escalation_vs_autoresolve,agent,retail-support-agent,2.4.1,resolve_or_escalate,"{""order_value"": 274.85, ""customer_tier"": ""loyalty_silver"", ""claim_age_days"": 38, ""channel"": ""web_chat""}","[""returns_policy_kb"", ""returns_policy_kb:1192""]",4,0.815,"[""auto_resolve"", ""escalate_for_manual_review""]",escalate_for_manual_review,"[""confidence_below_autoresolve_threshold"", ""routed_to_human_queue""]",0.83,"[{""policy_id"": ""ESCALATION-ROUTING-02"", ""version"": ""3.0"", ""result"": ""pass""}]","{""approval_required"": false, ""approval_status"": ""not_required"", ""approver_id"": ""human-review-492""}","{""tool"": """", ""result"": ""n/a""}","{""outcome"": ""escalated_human"", ""amount"": null}",Product Owner,low
DEC-20260602-50eb79,50eb79ee-6fe0-42d6-8198-9620038fc1a5,2026-06-02T01:38:47+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 232.34, ""customer_tier"": ""loyalty_silver"", ""claim_age_days"": 25, ""channel"": ""web_chat""}","[""returns_policy_kb"", ""returns_policy_kb:5958""]",34,0.646,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",proceed_with_action,"[""identity_verified"", ""action_within_agent_authority"", ""groundedness=0.646""]",0.66,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-33""}","{""tool"": ""loyalty_credit"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": null}",Cyber Security + Product Owner,medium
DEC-20260602-4442be,4442beb8-7728-42c8-8ef1-8a21347c9419,2026-06-02T06:58:51+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 30.76, ""customer_tier"": ""loyalty_gold"", ""claim_age_days"": 21, ""channel"": ""web_chat""}","[""returns_policy_kb"", ""returns_policy_kb:8644""]",45,0.582,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",proceed_with_action,"[""identity_verified"", ""action_within_agent_authority"", ""groundedness=0.582""]",0.56,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-88""}","{""tool"": ""loyalty_credit"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": null}",Cyber Security + Product Owner,medium
DEC-20260602-7d332d,7d332dc8-85f5-4cf2-a84c-adad3508d758,2026-06-02T01:35:21+00:00,refund_eligibility,agent,retail-support-agent,2.4.1,approve_customer_refund,"{""order_value"": 427.54, ""customer_tier"": ""standard"", ""claim_age_days"": 12, ""channel"": ""web_chat""}","[""faq_kb"", ""faq_kb:8298""]",39,0.767,"[""reject_refund"", ""approve_standard_refund"", ""escalate_for_manual_review""]",approve_standard_refund,"[""damaged_item_confirmed"", ""claim_within_30_day_window=True"", ""order_value_below_auto_limit=False""]",0.77,"[{""policy_id"": ""RETURNS-AUTO-APPROVAL-04"", ""version"": ""7.2"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-56""}","{""tool"": ""refund_issue"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": 427.54}",Product Owner + Responsible AI/Risk,medium
DEC-20260602-779dc0,779dc0eb-bad1-4f58-b7f8-fb979b4a6b87,2026-06-02T12:02:25+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 418.18, ""customer_tier"": ""loyalty_gold"", ""claim_age_days"": 5, ""channel"": ""ivr_handoff""}","[""returns_policy_kb"", ""returns_policy_kb:6793""]",44,0.627,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",proceed_with_action,"[""identity_verified"", ""action_within_agent_authority"", ""groundedness=0.627""]",0.61,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-25""}","{""tool"": ""address_update"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": null}",Cyber Security + Product Owner,medium
DEC-20260602-46f5ae,46f5aec9-1c86-4424-8198-05720c92be41,2026-06-02T15:48:14+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 179.67, ""customer_tier"": ""loyalty_silver"", ""claim_age_days"": 11, ""channel"": ""web_chat""}","[""order_history_index"", ""order_history_index:5149""]",0,0.704,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",proceed_with_action,"[""identity_verified"", ""action_within_agent_authority"", ""groundedness=0.704""]",0.67,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-70""}","{""tool"": ""address_update"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": null}",Cyber Security + Product Owner,high
DEC-20260602-b74ea2,b74ea2ca-e2d6-41a3-8a35-4c881f4476f3,2026-06-02T06:54:47+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 445.81, ""customer_tier"": ""loyalty_silver"", ""claim_age_days"": 30, ""channel"": ""web_chat""}","[""faq_kb"", ""faq_kb:3438""]",39,0.742,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",proceed_with_action,"[""identity_verified"", ""action_within_agent_authority"", ""groundedness=0.742""]",0.74,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-20""}","{""tool"": ""loyalty_credit"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": null}",Cyber Security + Product Owner,medium
DEC-20260602-dcd30b,dcd30b54-1cd8-4445-856c-a07debab7c45,2026-06-02T16:02:18+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 272.94, ""customer_tier"": ""loyalty_gold"", ""claim_age_days"": 15, ""channel"": ""web_chat""}","[""faq_kb"", ""faq_kb:9621""]",42,0.762,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",proceed_with_action,"[""identity_verified"", ""action_within_agent_authority"", ""groundedness=0.762""]",0.78,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-13""}","{""tool"": ""address_update"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": null}",Cyber Security + Product Owner,medium
DEC-20260602-34b27c,34b27cb1-7f93-48b5-8a45-7885db1f88e7,2026-06-02T00:42:22+00:00,refund_eligibility,agent,retail-support-agent,2.4.1,approve_customer_refund,"{""order_value"": 326.56, ""customer_tier"": ""loyalty_silver"", ""claim_age_days"": 10, ""channel"": ""web_chat""}","[""order_history_index"", ""order_history_index:7828""]",10,0.704,"[""reject_refund"", ""approve_standard_refund"", ""escalate_for_manual_review""]",approve_standard_refund,"[""damaged_item_confirmed"", ""claim_within_30_day_window=True"", ""order_value_below_auto_limit=False""]",0.72,"[{""policy_id"": ""RETURNS-AUTO-APPROVAL-04"", ""version"": ""7.2"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-97""}","{""tool"": ""refund_issue"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": 326.56}",Product Owner + Responsible AI/Risk,medium
DEC-20260602-a4f20d,a4f20d9a-c1a0-46c5-b3d0-59ca121dc8ec,2026-06-02T17:15:48+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 362.96, ""customer_tier"": ""loyalty_silver"", ""claim_age_days"": 30, ""channel"": ""web_chat""}","[""order_history_index"", ""order_history_index:3015""]",0,0.535,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",proceed_with_action,"[""identity_verified"", ""action_within_agent_authority"", ""groundedness=0.535""]",0.51,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-24""}","{""tool"": ""address_update"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": null}",Cyber Security + Product Owner,high
DEC-20260602-47b943,47b943f4-d09a-4f7d-9324-0842545c06bc,2026-06-02T06:40:48+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 81.47, ""customer_tier"": ""loyalty_gold"", ""claim_age_days"": 34, ""channel"": ""web_chat""}","[""order_history_index"", ""order_history_index:9747""]",40,0.589,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",proceed_with_action,"[""identity_verified"", ""action_within_agent_authority"", ""groundedness=0.589""]",0.57,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-82""}","{""tool"": ""address_update"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": null}",Cyber Security + Product Owner,medium
DEC-20260602-97a0f1,97a0f17d-78d4-4e04-ad65-bafb5efac251,2026-06-02T02:10:35+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 93.47, ""customer_tier"": ""standard"", ""claim_age_days"": 17, ""channel"": ""mobile_app""}","[""returns_policy_kb"", ""returns_policy_kb:8724""]",11,0.602,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",proceed_with_action,"[""identity_verified"", ""action_within_agent_authority"", ""groundedness=0.602""]",0.6,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-60""}","{""tool"": ""loyalty_credit"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": null}",Cyber Security + Product Owner,medium
DEC-20260602-b331ce,b331cebc-2c2f-4f18-88fe-9b8d86fa57fa,2026-06-02T20:26:58+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 26.98, ""customer_tier"": ""standard"", ""claim_age_days"": 3, ""channel"": ""ivr_handoff""}","[""faq_kb"", ""faq_kb:4650""]",8,0.749,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",proceed_with_action,"[""identity_verified"", ""action_within_agent_authority"", ""groundedness=0.749""]",0.74,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-67""}","{""tool"": ""address_update"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": null}",Cyber Security + Product Owner,medium
DEC-20260602-5a24a3,5a24a310-6de5-4bdd-a618-cb81c6514f2e,2026-06-02T13:43:07+00:00,refund_eligibility,agent,retail-support-agent,2.4.1,approve_customer_refund,"{""order_value"": 299.9, ""customer_tier"": ""loyalty_silver"", ""claim_age_days"": 31, ""channel"": ""web_chat""}","[""order_history_index"", ""order_history_index:4762""]",7,0.906,"[""reject_refund"", ""approve_standard_refund"", ""escalate_for_manual_review""]",approve_standard_refund,"[""damaged_item_confirmed"", ""claim_within_30_day_window=False"", ""order_value_below_auto_limit=True""]",0.87,"[{""policy_id"": ""RETURNS-AUTO-APPROVAL-04"", ""version"": ""7.2"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-83""}","{""tool"": ""refund_issue"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": 299.9}",Product Owner + Responsible AI/Risk,medium
DEC-20260602-003f52,003f527d-64bf-4a7c-82ad-dd0b2e75fe73,2026-06-02T22:42:27+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 252.85, ""customer_tier"": ""standard"", ""claim_age_days"": 24, ""channel"": ""web_chat""}","[""faq_kb"", ""faq_kb:8503""]",39,0.573,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",proceed_with_action,"[""identity_verified"", ""action_within_agent_authority"", ""groundedness=0.573""]",0.55,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-10""}","{""tool"": ""address_update"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": null}",Cyber Security + Product Owner,medium
DEC-20260602-b0f4c4,b0f4c4e0-a932-4959-862f-f60e81aa8e83,2026-06-02T10:08:23+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 372.58, ""customer_tier"": ""loyalty_silver"", ""claim_age_days"": 36, ""channel"": ""web_chat""}","[""faq_kb"", ""faq_kb:9120""]",30,0.826,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",proceed_with_action,"[""identity_verified"", ""action_within_agent_authority"", ""groundedness=0.826""]",0.83,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-88""}","{""tool"": ""loyalty_credit"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": null}",Cyber Security + Product Owner,medium
DEC-20260602-3e6757,3e675777-5138-4f14-90e6-a69cc6a5fdfd,2026-06-02T19:31:01+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 284.59, ""customer_tier"": ""standard"", ""claim_age_days"": 18, ""channel"": ""web_chat""}","[""returns_policy_kb"", ""returns_policy_kb:2155""]",36,0.774,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",proceed_with_action,"[""identity_verified"", ""action_within_agent_authority"", ""groundedness=0.774""]",0.74,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-41""}","{""tool"": ""address_update"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": null}",Cyber Security + Product Owner,medium
DEC-20260602-f6cc9f,f6cc9ffd-3094-4305-a941-7864a533222f,2026-06-02T11:18:31+00:00,refund_eligibility,agent,retail-support-agent,2.4.1,approve_customer_refund,"{""order_value"": 438.32, ""customer_tier"": ""standard"", ""claim_age_days"": 35, ""channel"": ""ivr_handoff""}","[""returns_policy_kb"", ""returns_policy_kb:9633""]",35,0.766,"[""reject_refund"", ""approve_standard_refund"", ""escalate_for_manual_review""]",approve_standard_refund,"[""damaged_item_confirmed"", ""claim_within_30_day_window=False"", ""order_value_below_auto_limit=False""]",0.74,"[{""policy_id"": ""RETURNS-AUTO-APPROVAL-04"", ""version"": ""7.2"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-18""}","{""tool"": ""refund_issue"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": 438.32}",Product Owner + Responsible AI/Risk,medium
DEC-20260602-116f6d,116f6d4b-8897-482c-a772-424b24a15e84,2026-06-02T23:43:10+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 198.24, ""customer_tier"": ""loyalty_gold"", ""claim_age_days"": 21, ""channel"": ""mobile_app""}","[""order_history_index"", ""order_history_index:5817""]",10,0.739,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",proceed_with_action,"[""identity_verified"", ""action_within_agent_authority"", ""groundedness=0.739""]",0.74,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-61""}","{""tool"": ""loyalty_credit"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": null}",Cyber Security + Product Owner,medium
